,日付,タイトル,カテゴリー,A-1.独自性(Cos距離),A-1.独自性_ドラフト時点,A-1.独自性_改善度,A-2.独自キーワード(割合),B-1.評価ランク,B-2.実現度合(Cos類似度),B-3.論点再現度(割合),C-1.知識活用性_Opinion,C-2.知識活用性_Policy,C-3.知識活用性_Communication,BEST_Mark,Top5_Mark
0,2024-12-31,2024年の振り返り,AI,0.23469173841451296,0.23685618537188058,-0.002164446957367616,0.25395506115112876,A,0.9593593916631971,0.6666666667,0.148,0.024,0,k1_util_Communication_BEST; ,o1_final_TOP5; r1_score_TOP5; k1_util_Opinion_TOP5; k1_util_Policy_TOP5; k1_util_Communication_TOP5; 
1,2024-12-30,データが枯渇した？,AI,0.18076133019453644,0.19734923798354198,-0.01658790778900554,0.42017854044349595,D,0.8797725982331256,0.25,0.154,0.028,0,k1_util_Opinion_BEST; k1_util_Policy_BEST; ,o2_tfidf_rate_TOP5; k1_util_Opinion_TOP5; k1_util_Policy_TOP5; k1_util_Communication_TOP5; 
2,2024-12-29,考える量と食欲は比例する,生活,0.2374943051541033,0.22838355438335245,0.009110750770750853,0.12444643753781073,A,0.904023829804247,0.2,0.0,0.0,0,,o1_final_TOP5; r1_score_TOP5; k1_util_Opinion_TOP5; k1_util_Policy_TOP5; k1_util_Communication_TOP5; 
3,2024-12-28,ケータイするデジタルMATSUMOTO,AI,0.1381759547032052,0.1399920232968891,-0.0018160685936838838,0.3079298619384495,A,0.9501913073686082,0.6666666667,0.0,0.0,0,,o2_tfidf_rate_TOP5; r1_score_TOP5; k1_util_Opinion_TOP5; k1_util_Policy_TOP5; k1_util_Communication_TOP5; 
4,2024-12-27,過剰なガバナンスによる機会損失,AI,0.19439019698981974,0.1738865280777463,0.020503668912073447,0.26585184897056713,B,0.9176191881484671,0.75,0.0,0.0,0,,r3_point_TOP5; k1_util_Opinion_TOP5; k1_util_Policy_TOP5; k1_util_Communication_TOP5; 
5,2024-12-26,社会インフラ化しつつあるLLM,AI,0.13584141684026074,0.09326056891027579,0.042580847929984955,0.45213193647273675,A,0.903396078336401,0.75,0.0,0.0,0,,o2_tfidf_rate_TOP5; r1_score_TOP5; r3_point_TOP5; 
6,2024-12-25,リアル松本のクリスマスディナー,カルチャー,0.22415130328116417,0.20539677296316106,0.018754530318003115,0.15795056428553447,C,0.887173729773151,0.3333333333,0.0,0.0,0,,
7,2024-12-24,サンタになったChatGPT,AI,0.11018303116471462,0.1417469815301151,-0.031563950365400495,0.2949382225526961,D,0.9128907691793458,0.3333333333,0.0,0.0,0,,
8,2024-12-23,外出すると駅蕎麦が食べたくなる,カルチャー,0.12097298428830461,0.11132611444065255,0.009646869847652062,0.2268088614275661,B,0.921242457107521,0.5,0.0,0.0,0,,
9,2024-12-22,絶対できないけど憧れるパルクール,カルチャー,0.41568855961384565,0.2584767498125715,0.15721180980127414,0.631352351542117,D,0.7303888897745641,0.0,0.0,0.0,0,o1_final_BEST; o1_improved_BEST; o2_tfidf_rate_BEST; ,o1_final_TOP5; o1_improved_TOP5; o2_tfidf_rate_TOP5; 
10,2024-12-21,ブッシュマンが面白すぎる,カルチャー,0.16401991417963935,0.15600243127460034,0.008017482905039008,0.18422321686293505,A,0.9577777239845975,0.6666666667,0.0,0.0,0,,
11,2024-12-20,大事なタスクを進めようとすると邪魔なタスクも群がってくる,ビジネス,0.27559884355774544,0.2743791658821011,0.0012196776756443484,0.23280395881057214,C,0.9711544467809323,0.6,0.0,0.0,0,,o1_final_TOP5; r2_similarity_TOP5; 
12,2024-12-19,「やったことないです」と「できないです」は違う,イノベーション,0.16228869635894627,0.18347252160480065,-0.021183825245854382,0.07750940077330466,C,0.9092394324835077,0.6666666667,0.0,0.0,0,,
13,2024-12-18,実験に用いるベンチマークテストデータをそのままRAGデータに設定して良いの？,AI,0.18513136267247043,0.17310769753722033,0.012023665135250106,0.25600144756700804,A,0.9618365679234463,0.5,0.0,0.0,0,,r2_similarity_TOP5; 
14,2024-12-17,確定申告AI vs 税調AI,AI,0.13055271518234246,0.12519835619369668,0.00535435898864578,0.14952065705209908,A,0.9600737783812059,0.0,0.0,0.0,0,,r2_similarity_TOP5; 
15,2024-12-16,セキュリティ芸人こそ最高の教科書？,DX/IT,0.15298060880862874,0.15502279054432777,-0.0020421817356990335,0.040704478978828444,P,0.999346964940665,1.0,0.0,0.0,0,r1_score_BEST; r2_similarity_BEST; r3_point_BEST; ,r1_score_TOP5; r2_similarity_TOP5; r3_point_TOP5; 
16,2024-12-15,毎年一度は山下達郎が聴きたくなる,カルチャー,0.1517228963545919,0.10349902852340298,0.04822386783118893,0.04802776740839033,A,0.916507202880521,0.3333333333,0.0,0.0,0,,o1_improved_TOP5; 
17,2024-12-14,集中したい時にサイケをかける,ビジネス,0.18924370309802663,0.13509101492670172,0.0541526881713249,0.21350491469196672,A,0.9335442984171081,0.5,0.0,0.0,0,,o1_improved_TOP5; 
18,2024-12-13,質問やコメントは「ありがたく頂戴」しよう,ビジネス,0.1386047116044733,0.14952384572810917,-0.010919134123635876,0.1555217522692331,B,0.9593318487866708,0.25,0.0,0.0,0,,
19,2024-12-12,LLMの外側でのプロトコル定義,AI,0.14305324379254114,0.15933277956568603,-0.016279535773144893,0.15614467765882484,C,0.956594334692356,0.6,0.0,0.0,0,,
20,2024-12-11,今のGPTは汎用目的LLMと言うより多目的LLM,AI,0.18457461003751574,0.1392764448373064,0.04529816520020935,0.18207069629644745,D,0.8898086402048727,0.2,0.0,0.0,0,,o1_improved_TOP5; 
21,2024-12-10,AIで甦る過去の偉人の知見,AI,0.1285491825629025,0.11014924136982784,0.018399941193074643,0.2213276997016959,C,0.9341042185210392,0.5,0.0,0.0,0,,
22,2024-12-09,SNSは禁止すべき？豪でのSNS禁止法,DX/IT,0.08691683085631763,0.10550226570432919,-0.01858543484801156,0.14642323585312889,A,0.9431456322295478,0.5,0.0,0.0,0,,
23,2024-12-08,不思議な魅力を持つ中東料理,カルチャー,0.22563850195289858,0.141078606998016,0.08455989495488259,0.10806709589087923,A,0.8372383307715747,0.5,0.0,0.0,0,,o1_improved_TOP5; 
24,2024-12-07,応援の力で世界を盛り上げるB・モレルさん,カルチャー,0.13809670945163577,0.1440151283701926,-0.0059184189185568226,0.0,C,0.9259249381509743,0.75,0.0,0.0,0,,r3_point_TOP5; 
25,2024-12-06,人を褒めるのも叱るのも難しい,ビジネス,0.2445369520538122,0.23917915028384118,0.005357801769971027,0.45811452004459297,A,0.9661346954560914,0.75,0.0,0.0,0,,o1_final_TOP5; o2_tfidf_rate_TOP5; r2_similarity_TOP5; r3_point_TOP5; 
26,2024-12-05,ワンマン開発を卒業したいリアル松本,DX/IT,0.15287451071289504,0.14040628993928816,0.012468220773606875,0.23622143242186203,C,0.9572487520798815,0.75,0.0,0.0,0,,
27,2024-12-04,プロンプトテンプレートは便利だけど・・・,AI,0.1375415375791489,0.18424309529831373,-0.04670155771916484,0.22688800623737135,D,0.950655042429065,0.6666666667,0.0,0.0,0,,
28,2024-12-03,LLMを極めることはラーメンを極めるくらいの覚悟が必要,AI,0.221296136993832,0.18454397553152813,0.03675216146230387,0.13837922971967187,B,0.837477149483425,0.0,0.0,0.0,0,,
29,2024-12-02,高齢者でもネットやAIを使いこなせる,AI,0.1568545484188617,0.13492400572932994,0.021930542689531762,0.27599784006262573,C,0.9408698354246772,0.25,0.0,0.0,0,,
30,2024-12-01,プレミア12を制覇したのは台湾,カルチャー,0.18097674402181185,0.1706069214601037,0.010369822561708153,0.246399165424726,A,0.9096731630355618,0.6666666667,0.0,0.0,0,,
