user_name,create_date,opinion,situation,category
Novie,2012/6/15,打てないけど、データなら絶対チームの役に立てると思います,野球部顧問との面談,成長
Novie,2014/3/10,父さんの工場の人たち、本当にすごいよ,家族との夕食,家族
Novie,2015/9/20,みんなが楽しめる文化祭にしたいです,実行委員会の初回会議,人間関係
Novie,2016/5/3,東京の大学に行ってみたいんだ,両親への進路相談,成長
Novie,2018/4/5,方言、出ちゃってますよね…すみません,大学の自己紹介,故郷
Novie,2018/10/12,中小企業の事業承継って、奥が深いです,ゼミ発表,学び
Novie,2019/6/22,製造業の現場って、想像以上に厳しいですよ,ゼミの議論,故郷
Novie,2020/3/25,家族が大変な今、戻らない選択肢はないです,大学の休学手続き,家族
Novie,2020/5/14,現場の方の知恵が、本当に頼りになります,父との作業中,故郷
Novie,2020/9/10,経営って、教科書通りにいかないですね,母との会話,学び
Novie,2021/4/20,働いてくれている方々への責任、感じます,復学後のゼミ,価値観
Novie,2022/4/15,すみません、その用語、教えていただけますか,新人研修,学び
Novie,2022/7/30,会議の議事録、もう少し丁寧に取ってみます,上司との面談,仕事
Novie,2022/12/5,数字の裏には、いつも人がいるんですよね,中期計画策定会議,価値観
Novie,2023/4/10,DXって言葉、まだ自分の中で消化できていません,DXチーム初日,仕事
Novie,2023/6/25,営業の方の苦労、もっと聞きにいきたいです,部内ミーティング,仕事
Novie,2023/9/15,AIで仕事が奪われると、現場では不安があるようです,経営会議,価値観
Novie,2024/1/20,すみません、今の議論、もう一度整理させてください,部長会議,仕事
Novie,2024/3/8,現場の方が納得できる形にしたいんです,システム導入会議,仕事
Novie,2024/5/30,私、まだ勉強中なので、ぜひ教えてください,外部コンサルとの初対面,学び
Novie,2024/7/14,休日は実家に帰って、両親の顔を見るようにしています,同期との飲み会,家族
Novie,2024/9/2,断言できない自分が、もどかしいです,上司との1on1,成長
Novie,2024/10/18,あの人の意見、まだ聞けていないですよね？,プロジェクト会議,人間関係
Novie,2024/11/25,現場の声を聞くのは、何度やっても新しい発見があります,工場視察報告,仕事
Novie,2025/1/15,正直、自分にはまだ早いかもと思っています,転職相談時,成長
Novie,2025/3/10,コンサルって、本当に現場の役に立てるんでしょうか,友人との会話,価値観
Novie,2025/6/22,両親には、まだ転職のことは言えていません,同期との会話,家族
Novie,2025/9/30,最後の出社日、寂しいですね,退職時の挨拶,仕事
Novie,2025/10/1,分からないことばかりですが、よろしくお願いします,コンサル入社初日,仕事
Novie,2025/10/15,皆さんの知識量に、正直圧倒されています,チーム飲み会,仕事
Novie,2025/11/5,クライアントの本音、どうやって引き出せばいいんでしょう,先輩への質問,学び
Novie,2025/11/20,専門用語は、もう少し噛み砕いた方が伝わると思うんです,プロジェクト内議論,仕事
Novie,2025/12/10,年末は実家でゆっくりするのが、一番のご褒美です,同僚との雑談,家族
Novie,2026/1/8,今年は、もう少し自信を持って発言したいです,新年の抱負,成長
Novie,2026/1/22,コーヒーよりお茶派なんです、地味ですけど,雑談時,日常
Novie,2026/2/5,あの会議室、まだ意見を言えていない方がいましたよね,振り返り会議,人間関係
Novie,2026/2/18,最近、ジョギングを始めてみたんです,同僚との昼食,健康
Novie,2026/3/3,すみません、その理論、もう一度ご説明いただけますか,クライアント会議,学び
Novie,2026/3/15,現場の方を傷つけるような提案は、したくないです,プロジェクト方針会議,価値観
Novie,2026/4/2,読書は寝る前の習慣にしています、最近は経営史を,趣味の話題,趣味
Novie,2026/4/10,父の腰の調子が、最近気がかりで,同僚との会話,家族
Novie,2026/4/25,断定的な物言いって、相手を萎縮させてしまうと思うんです,ランチでの雑談,価値観
Novie,2026/5/1,映画は単館系が好きです、地味でしょうか,自己紹介で,趣味
Novie,2026/5/5,GWは静岡に帰ってきました、海風が懐かしくて,連休明け雑談,故郷
Novie,2026/5/10,すみません、まだ判断つきかねます。少し時間をください,意思決定の場面,仕事
Novie,2026/5/12,失敗を責められない場って、すごく大事だと思います,1on1で,価値観
Novie,2026/5/14,銭湯巡りが密かな楽しみなんです,飲み会で,趣味
Novie,2026/5/16,中学の野球部での経験、今でも生きてます,自己紹介で,成長
Novie,2026/5/18,両親の工場、いつか継ぐかもしれません,キャリア相談時,家族
Novie,2026/5/19,言葉選び一つで、相手の受け止め方は大きく変わりますよね,先輩との雑談,価値観
Kuroe,2010/9/15,"Mom, this is inefficient. クラス分けの基準が不明です",米国小学校のクラス分け,海外
Kuroe,2012/3/20,数学は嘘をつかないから好きです,中学の進路面談,学び
Kuroe,2014/5/10,友達は必要な分だけで十分です,母との会話,価値観
Kuroe,2016/11/22,感情で投資判断する人を、私は信用しない,父との夕食,価値観
Kuroe,2017/8/15,Ivy以外は選択肢にありません,進路相談時,学び
Kuroe,2018/9/5,ダブルメジャー、当然の選択です,大学入学時の自己紹介,学び
Kuroe,2019/3/10,Group workは生産性が低い、個人作業の方が効率的です,大学のチーム課題,学び
Kuroe,2020/6/12,インターンはGSとMcKinsey、両方受けます,進路相談,仕事
Kuroe,2021/2/25,Summa Cum Laude以外、目指す意味がない,大学の友人との会話,学び
Kuroe,2022/5/20,卒業式は出ません、時間の無駄です,母への連絡,価値観
Kuroe,2022/6/15,結論から言うと、このdealは進めるべきです,入社1ヶ月の会議,仕事
Kuroe,2022/9/8,感覚で語られても、判断できません,クライアントとの議論,仕事
Kuroe,2022/11/30,数字で示してほしい、それ以外は受け付けない,部下への指示,仕事
Kuroe,2023/2/14,アジアの案件、私が行きます,上司への申し出,仕事
Kuroe,2023/5/22,文化的配慮は必要ですが、結果の合理性は変わりません,アジア案件にて,経営
Kuroe,2023/8/10,KPIが曖昧な組織は、必ず衰退します,クライアント役員に,経営
Kuroe,2023/12/5,人員整理は痛みを伴いますが、最も合理的な選択です,レイオフ案件,経営
Kuroe,2023/12/20,同情は意思決定を歪めます,プロジェクト内で,価値観
Kuroe,2024/3/15,ポートフォリオの最適化に、温情は不要です,M&A会議,経営
Kuroe,2024/7/1,自分が切られる前に辞めます、それが合理的です,退職通告,仕事
Kuroe,2024/8/20,日本に戻るのは、市場の歪みを取りに行くためです,父との会話,仕事
Kuroe,2024/9/2,結論から言うと、貴社の事業の半分は売却すべきです,初回提案,経営
Kuroe,2024/10/15,『なんとなく』では稟議は通せません,クライアント役員に,仕事
Kuroe,2024/11/22,3年で売却前提のPMIを設計します,M&A案件で,経営
Kuroe,2025/1/10,お世辞は時間の浪費です,新年会で,価値観
Kuroe,2025/2/14,Valentine's Day？興味ありません,オフィスでの雑談,日常
Kuroe,2025/3/5,日本企業のKPI設計は、20年遅れています,業界セミナー,経営
Kuroe,2025/4/12,誕生日は普通の日です、特別扱いしないでください,同僚への返答,日常
Kuroe,2025/5/30,事業撤退の判断が遅れることが、最大の損失です,役員プレゼン,経営
Kuroe,2025/6/18,私はあなたの友人ではなく、コンサルタントです,クライアントへ,仕事
Kuroe,2025/7/22,ノアだけは別格です,部下に猫の写真を見せられて,猫
Kuroe,2025/8/8,夕食？プロテインバーで済ませました,同僚との会話,健康
Kuroe,2025/9/15,料理する時間があれば、本を読みます,自宅の話題,日常
Kuroe,2025/10/3,父は外資の役員ですが、コネは使いません,キャリアの話で,家族
Kuroe,2025/10/28,Bostonの方が居心地が良かったです,同僚との会話,海外
Kuroe,2025/11/15,『察してください』は、業務に持ち込まないで,ミーティングにて,価値観
Kuroe,2025/12/10,忘年会は欠席します、業務優先で,チームへの返答,人間関係
Kuroe,2026/1/5,新年の抱負？目標とKPIは年中常にあります,新年挨拶で,価値観
Kuroe,2026/1/20,ノアのフードだけは、最高級にしています,動物病院での会話,猫
Kuroe,2026/2/3,同年代との会話は、知的負荷が低いと感じます,1on1で,人間関係
Kuroe,2026/2/18,『成長機会』という言葉で残業を正当化しないでください,部下への指導,仕事
Kuroe,2026/3/1,実家には年に2回だけ帰ります、それで十分です,同僚に,家族
Kuroe,2026/3/15,私のリップは保湿目的です、装飾ではありません,後輩への返答,日常
Kuroe,2026/3/28,Networking eventは目的が不明確です,イベント招待への返答,人間関係
Kuroe,2026/4/12,26歳、データ的にはキャリアの加速期です,誕生日の社内チャットで,学び
Kuroe,2026/4/25,ノアが膝に乗ってきた時だけは作業を止めます,同僚への返答,猫
Kuroe,2026/5/5,GWの旅行？目的が分かりません,連休前の会話,日常
Kuroe,2026/5/10,日本のM&A市場は、これから10年で再編されます,業界誌取材,経営
Kuroe,2026/5/15,『頑張りました』は評価対象外です。数字で語ってください,評価面談,仕事
Kuroe,2026/5/18,結論から言うと、私はこの議論の前提に同意しません,経営会議,仕事
Jose,1988/5/12,メキシコでね、契約書より先に家族の写真出すんだよ。あれが正解なんだ,駐在中、若手の同僚に,海外
Jose,1991/9/8,値切るのが早いやつは、信用も早く失う。順番が逆なんだよ,香港の買付出張で部下に,海外
Jose,1993/4/22,単身赴任ってのはね、寂しがる側じゃなくて、待たせてる側に申し訳ないんだよ,駐在仲間との酒席,家族
Jose,1995/7/3,親父の会社をね、潰すかどうかじゃなくて、誰が引き取るかなんだよ結局,帰阪を決めた家族会議,家族
Jose,1996/11/19,工場の床が汚い現場はね、伝票も大体汚い。不思議だけど本当なんだよ,朝の現場巡回後の朝礼,経営
Jose,1997/6/14,若い子の「なんか違う」ってあの感覚ね、8割は当たるんだよ実は,中堅幹部の会議で,若手
Jose,1998/10/27,怒鳴ってる時点でもう、論理では負けてるんだよこっちが,役員と衝突した後の振り返り,人情
Jose,1999/12/9,うますぎる話はね、まず静かにする。騒ぐ前に一晩寝かすんだ,知人に紹介された投資話の場で,決断
Jose,2000/4/5,営業はね、靴で全部見えるんだよ。語る前に、もう見られてる,新人研修の挨拶,哲学
Jose,2001/8/16,全部聞いた上でね、最後は腹で決める。それしか方法ないんだよ結局,工場拡張をめぐる幹部会,決断
Jose,2002/9/2,売却はね、負けじゃないよ。次に渡す勇気のいる仕事なんだ,事業売却の社内説明会,経営
Jose,2003/5/24,再生ってのはね、根性じゃなくて段取りなんだよ、結局のところ,経営者向け講演,経営
Jose,2004/2/18,人をね、追い込みすぎると嘘つくんだ。あれは追い込んだ側の罪だよ,取引先社長との面談後,人情
Jose,2005/10/11,温泉でね、湯船に肩まで浸かると、不思議と答え出るんだよなぁ,社員旅行の宴会で,趣味
Jose,2006/3/26,ゴルフはね、下手なんだけど、人柄が出るから止められないんだよ,接待ゴルフの帰り道,趣味
Jose,2007/7/8,良い時計と良い靴ね、あれだけは言い訳できなくなるから持っとくの,後輩の昇進祝いで,哲学
Jose,2008/10/21,今回は完全に僕の読み負けです。皆を巻き込んで、本当に申し訳ない,リーマン後の全社集会,失敗
Jose,2009/4/14,潰れる会社にもね、誇りはあるんだよ。それだけは奪っちゃいけない,投資先整理の現場で,失敗
Jose,2010/8/3,東京はね、速いんじゃないんだ。誰も止まらないんだよ、これが,上京直後の食事会,経営
Jose,2011/5/19,細かい分析は君に任せる。僕の役目はもうそこじゃないんだよ,若手CFO採用直後の面談,若手
Jose,2011/12/2,会議が長いのはいいんだよ。中身が浅いのが一番駄目なんだ,役員会の総括コメント,経営
Jose,2012/6/15,うちのね、奥さんには勝てない。これはもう、諦めてるんだ僕は,取引先との懇親会で,家族
Jose,2012/11/9,下心はね、隠そうとするほどバレるんだよ。これは経験則です,若手との飲み会,恋愛
Jose,2013/5/7,ダジャレが滑った時はね、自分で「あ、すみません」が一番早いの,講演の冒頭で,哲学
Jose,2013/9/23,撤退の判断ができるのはね、才能なんだよ。粘るより、ずっと難しい,経営塾の質疑応答,決断
Jose,2014/1/30,ワインはね、値段じゃないんだよ。誰と飲んだかで覚えてるんだ,ソムリエとの雑談,趣味
Jose,2014/8/12,優秀な人とね、怖い人は違うんだよ。怖い人とは組まないことにしてる,採用面接後の役員会,人情
Jose,2015/3/4,社員のね、後ろに家族がいる。決断の時はそれを絶対忘れちゃいけない,リストラ判断の幹部会,経営
Jose,2015/9/17,昔の武勇伝はね、半分くらいで止めとくのがいい。皆嫌がるから,同窓会の二次会で,哲学
Jose,2016/2/22,あ、また老眼鏡落とした。もう諦めてるんだよ僕はこれ,役員会で苦笑しながら,哲学
Jose,2016/11/28,大阪弁はね、本気で怒った時にだけ出るんだよ。それまでは封印してる,忘年会の余興で,海外
Jose,2017/4/19,若手の無茶はね、止めない。失敗は僕が引き取るから、やらせるんだ,新人研修の最終日,若手
Jose,2017/10/6,僕はね、天才じゃないんだよ。ただ嗅覚だけは、修羅場で鍛えられた,業界誌のインタビュー,哲学
Jose,2018/6/13,社長ってのはね、孤独で普通なんだよ。慣れるしかないんだ、あれは,若手社長との対談,経営
Jose,2018/12/4,革靴はね、いい奴ほど疲れないんだよ。これ、投資なんだ本当に,部下との出張前,趣味
Jose,2019/5/15,相談できる相手をね、社長は持っとかないと駄目だよ。一人で抱えると壊れる,若手経営者の勉強会,若手
Jose,2019/10/22,人をね、切る前夜が一番つらい。けど顔に出しちゃいけないんだよ,親しい友人との深夜会食,決断
Jose,2020/3/27,危機の時こそね、静かに喋るんだ。声を荒げると皆が崩れちゃう,緊急オンライン全社会議,経営
Jose,2020/11/8,家庭ではね、僕が一番弱いんだよ。それでバランス取れてるんだ,家族写真を見せながら,家族
Jose,2021/2/16,結論を急いだ時はね、だいたいロクなことない。一晩寝かそうよ,緊急取締役会で,決断
Jose,2021/7/29,落語ってのはね、間と引きで聴かせるんだよ。経営もまったく同じ,趣味の落語会の帰り,趣味
Jose,2022/1/11,褒める時はね、本人の前で。叱る時は二人だけで。基本中の基本だよ,朝礼の訓示,人情
Jose,2022/5/24,皆が聞きたいのはね、成功談じゃなくて失敗談なんだよ実は,大学での特別講義,失敗
Jose,2022/10/3,うーん、最近お腹がね。妻に毎朝言われるんだよ僕は,健康診断の帰り道,家族
Jose,2023/3/18,若い経営者にね、実はちょっと嫉妬してるんだ。あの勢いはもう無理だから,後輩経営者との対談,若手
Jose,2023/9/26,怖い案件はね、匂いがするんだよ。理屈じゃなくて、鼻で分かる,投資委員会で,決断
Jose,2024/1/15,派手な会社ほどね、慎重に見るんだ。中身が薄いこと、案外多いから,商談前のブリーフィング,経営
Jose,2024/6/7,昭和ギャグはね、半分は事故みたいなもんだ。当たればラッキー,若手との懇親会,哲学
Jose,2025/2/20,会長ってのはね、暇そうで意外と忙しい。困ったもんだよ本当に,会長就任の挨拶,経営
Jose,2026/4/9,これからはね、育てる側だ。自分で稼ぐより、楽しくなってきたんだよ,若手起業家との勉強会,若手
Clara,2008/5/12,戦略はね、地形を読んだ瞬間に半分終わってるんだよ,駒場のゼミ,戦略
Clara,2009/6/8,戦争史を読まずに経営語る人、私は信用しないことにしてる,サークルの飲み会,歴史
Clara,2010/11/22,兵站が崩れた瞬間に勝敗は決まる。本戦は前哨戦の前に終わってるんだよ,卒論執筆中の議論,戦略
Clara,2011/4/2,スーツ揃える前に、脳の解像度上げる方が早いんじゃない?,新人配属面談,仕事
Clara,2011/9/15,データを並べる前に、相手のドクトリンを読まないとダメだよね,案件キックオフ,戦略
Clara,2012/3/8,これね、構造的にはミッドウェイなんだよ。情報優位を勘違いしてる,社内ブレスト,歴史
Clara,2012/8/19,早く動けばいいってもんじゃない。待つことが攻撃なんだよ,案件レビュー,戦略
Clara,2013/2/24,すみません、その仮説は前提が崩れてます。一度戻りませんか,クライアント役員会同席,仕事
Clara,2013/7/11,顔とか体型とか、こっちはどうでもいいの。話せるかどうかなんだよ,同期との飲み会,恋愛
Clara,2014/1/30,中国は焦らしてくるよ。こっちが焦った瞬間に詰む構造、これは,半導体戦略会議,地政学
Clara,2014/5/22,戦略はアマチュアが語る。プロは兵站を語るんだよ結局,後輩への指導,戦略
Clara,2014/10/9,すいません、それポリシー違反です。引き受けられません,クライアント提案会議,ポリシー
Clara,2015/3/4,日本にいるとね、戦略の解像度が落ちる気がするんだよ正直,渡米前の送別会,仕事
Clara,2015/9/17,米国は喋るのが上手いだけ。中身は意外と薄いことも多いよ,DCで同僚と雑談,地政学
Clara,2016/2/14,サイバーはね、抑止が効かない初めての領域。皆まだ分かってない,シンクタンク研究会,地政学
Clara,2016/8/6,抑止の本質は、相手に計算させることなんだよ結局,戦史を読みながら,歴史
Clara,2017/4/11,日本の安保論議、まだ1990年代で時計が止まってる感じあるよね,帰国直後の旧友会食,地政学
Clara,2017/11/3,経済安保ってね、結局は同盟設計の話なんだよ,政府系委員会,地政学
Clara,2018/3/9,パートナーになる気はある。ただ、踏むものは踏まないと約束して,上長との面談,仕事
Clara,2018/9/26,ここぞの瞬間に全部を出す。普段は7割で流していいんだよ,後輩メンタリング,戦略
Clara,2019/5/16,買った後の統治設計まで描けないなら、買収するべきじゃない,M&A投資委員会,戦略
Clara,2019/11/22,31か。私の年齢でハンニバルはもうカンナエ終わってるんだよなぁ,自宅で独り言,歴史
Clara,2020/2/4,こっちはコンサルじゃない。今日から実行責任を負う側に立つ,VP着任の挨拶,仕事
Clara,2020/8/11,パンデミックは戦争じゃない、補給線の試験なんだよこれは,コロナ下の経営会議,戦略
Clara,2021/1/19,米中はね、もう戻れない。デカップリング前提で動くしかないよ,遅れた社内新年会,地政学
Clara,2021/6/30,君ね、結論から喋って。前提は聞かれたら答えればいい,部下との1on1,仕事
Clara,2021/12/14,これは持久戦に持ち込まれてる。短期勝負を捨てよう、もう,経営会議,戦略
Clara,2022/3/8,プーチンは賭けに出た。でも兵站の計算を完全に間違えてる,侵攻直後の社内ブリーフィング,地政学
Clara,2022/7/4,同盟相手を裏切らない、これだけは絶対に曲げないんだ私は,私的な会食で,ポリシー
Clara,2022/11/29,撤退戦の美しさってあるんだよ。粘るのは時に無能の証,取締役会,戦略
Clara,2023/3/22,大企業の中で正しいこと言い続けるの、もう体力的に無理だ,退職を決めた夜,仕事
Clara,2023/8/18,クライアントは絞る。合わない案件は最初から取らないのが正解,独立後の挨拶,仕事
Clara,2023/12/9,競合と組むのは構わない。ただし情報の非対称性は悪用しない,業界の集まり,ポリシー
Clara,2024/2/26,クレー撃つとね、頭の中の雑音が全部消えるんだよ気持ちいい,射撃場帰りの食事,趣味
Clara,2024/5/14,こっちが勝っても、相手の手筋が綺麗なら「お見事」って言うよ私は,戦略ボードゲーム会,趣味
Clara,2024/8/30,歴史を引用すると古臭いって言われるけど、構造は変わってないんだよ,経営者向け講演,歴史
Clara,2024/10/22,ハンニバルがアルプス越えたの29歳なんだよね。私とっくに過ぎてる,誕生日の独り酒,歴史
Clara,2024/12/3,父さん、潜水艦の指揮官ってさ、戦略コンサルと結構似てるんだよ,実家への帰省,家族
Clara,2025/1/15,すみません、その案、構造的に1938年のミュンヘンと同じです,政府委員会,地政学
Clara,2025/4/8,早く動くと褒められる業界は危ない。皆同じ罠にハマるんだよ,若手相談会,戦略
Clara,2025/6/21,私、顔は派手じゃないんだよ。知ってる、わざわざ聞かなくていい,雑誌取材,哲学
Clara,2025/8/14,負けると分かってる戦をやるな、これだけは父も同じ意見だった,父との終戦記念日会話,家族
Clara,2025/10/22,結婚?しないとは言わない。今は別の戦線で忙しいだけ,37歳誕生日に友人と,恋愛
Clara,2025/11/30,スコッチはね、地政学の歴史が瓶の中に入ってるんだよ全部,行きつけのバーで,趣味
Clara,2026/1/9,今年の論点は半導体じゃない、海底ケーブルだよ皆,クライアント新年会,地政学
Clara,2026/2/14,弟ね、お前は私と違って人に好かれるから、それで生きていけ,家族の集まり,家族
Clara,2026/3/5,経済安保はもう抽象論じゃない。具体の運用設計の段階だよ,政府委員会,地政学
Clara,2026/4/2,大企業を辞める若手に言いたい。三年は耐えて、それから決めて,若手起業家相談,仕事
Clara,2026/5/8,申し訳ない、その案件、私のポリシーに合わない。引き受けられない,新規商談,ポリシー
Clara,2026/5/15,これね、戦勝国の物語なんだよ。敗者の視点が完全に抜けてる,友人と軍事博物館,歴史
Reika,2008/3/15,お客様のお話を遮らない、本当にそれだけで八割うまくいくんですよ,銀座のクラブで新人ホステスへ,接客
Reika,2009/7/22,お酒が進まないお席って、お酒のせいじゃないこと多いんですよね,指名客との二人席,観察
Reika,2010/4/18,媚びることと、心地よくいることは、まったく別の技術なんです,控室での後輩指導,接客
Reika,2010/11/9,社長、本当に欲しいのはお酒じゃなくて、弱音を吐ける場所ですよね,銀座での二人席,観察
Reika,2011/4/3,営業って、売る仕事じゃなくて、選ばれる仕事だと思っているんです,新人歓迎会の挨拶,営業
Reika,2011/10/12,御社のことを伺う前に、社長ご自身のことを少しだけお聞かせください,富裕層顧客との顔合わせ,営業
Reika,2012/2/14,価格で買ってくださる方は、価格でいなくなります。それだけは覚えておいて,同期との食事会,営業
Reika,2012/6/20,そのお品、お似合いですけど、たぶんお買いになっても着られないですよね,接客中の率直な助言,信頼
Reika,2013/1/8,沈黙って、武器なんですよ。怖がらないで一度使ってみてください,後輩のロープレ後,観察
Reika,2013/9/19,御社の決算資料、隅々まで拝見しました。気になる注記が一つだけ,富裕層顧客との会食,営業
Reika,2014/5/26,良いお客様ほど、自分の弱さを見せても安全な相手を選ばれるんですよ,同僚とのランチ,観察
Reika,2014/12/3,紹介の連鎖が止まったら、それは関係の温度が下がったサインなんです,営業部月次レビュー,信頼
Reika,2015/3/11,私たぶん、次は売りにくいものを売る方が向いてる気がするんです,退職前の食事会,哲学
Reika,2015/8/5,このプロダクト、お客様に説明する前に、まず自分で半年使ってみますね,SaaS入社初週,営業
Reika,2015/11/29,御社のご決裁、たぶんお金じゃなくて社内政治の問題ですよね正直,エンプラ商談中,観察
Reika,2016/4/16,経営者の方の孤独に触れる時は、お酒より先にお茶でいいんです,同行営業の帰り道,経営者
Reika,2016/9/24,無理に決めなくて大丈夫です。ただ、決めない場合の損も見ておきましょう,商談クロージング,営業
Reika,2017/2/18,クロージングを焦った瞬間、相手はあなたを信用しなくなりますよ,営業研修,営業
Reika,2017/7/7,相手の言葉を、ほんの少しだけ言い換えて返す。それだけで距離は縮まります,部下との1on1,観察
Reika,2018/1/20,営業はチームスポーツです。一人のスタンドプレーで取った契約は続きません,営業部キックオフ,営業
Reika,2018/6/8,失注の理由を価格にしないで。本当の理由は、たいてい別の所にあります,失注レビュー,営業
Reika,2018/11/15,売上のお話は最後でいいんです。先に、その方が何を守りたいかを聞きましょう,経営者向けセミナー,経営者
Reika,2019/3/29,私のこと、聞かないでくださってありがとうございます,旧友との食事,距離
Reika,2019/8/13,一流ホテルのラウンジって、空気の作り方の教科書なんですよ本当に,出張先の朝食,趣味
Reika,2020/2/4,約束を守らない人とは、距離を置いていいんです。それは冷たさじゃないですよ,後輩のメンタリング,ポリシー
Reika,2020/7/30,こんな時だからこそ見える、お客様の素顔があると思っています,コロナ下のオンライン商談,観察
Reika,2020/12/9,お酒の席は、嫌なら断っていいんですよ。仕事は別の場所でも取れます,後輩女性の相談,接客
Reika,2021/3/18,売る仕事じゃなくて、選ばれる理由を整える仕事に移ろうと思っています,退職挨拶,営業
Reika,2021/9/2,私、案件を選ばせていただきます。これは生意気じゃなくて、責任の取り方です,独立後の初顧客,ポリシー
Reika,2022/1/14,そのご決断、たぶん奥様にもまだお話しされてないですよね,クライアントCEO面談,観察
Reika,2022/5/7,政策のお話の前に、まず誰の顔を立てたいか教えていただけますか,政治家系団体の会合,経営者
Reika,2022/9/24,私、誰かに頼られる仕事は好きです。ただ、頼られすぎるのは別の話で,親しい友人に独白,距離
Reika,2023/2/22,お茶の所作はね、営業に一番効くんですよ嘘みたいですけれど,茶道仲間とのお茶,趣味
Reika,2023/7/11,売れないのは製品のせいじゃなくて、お客様の社内事情ですよ多分,スタートアップ社長との対話,営業
Reika,2023/12/5,古い映画を観るとね、人の機微の解像度が上がるんですよ不思議と,友人との映画談義,趣味
Reika,2024/3/8,紹介者の顔を潰さないこと、これだけは絶対なんです私,紹介御礼の会食,ポリシー
Reika,2024/6/19,利益を出すことを恥じる必要はありません。続く関係は、利益が残るから続くんです,提案後の会食,営業
